year,deflator_base_2020
1993,10.892961689
1994,11.800318448
1995,16.399668042
1996,20.742519704
1997,24.415096368
1998,28.278682998
1999,32.606807608
2000,36.105393739
2001,38.446698348
2002,40.546059614
2003,42.294352238
2004,45.718278748
2005,48.407740256
2006,51.366674511
2007,54.513338850
2008,57.958110455
2009,60.988401816
2010,63.661702359
2011,67.252814929
2012,70.335124757
2013,71.535491995
2014,74.652352970
2015,77.056154163
2016,81.720716901
2017,87.113807145
2018,91.643434162
2019,95.612049638
2020,100.000000000
2021,104.507486428
2022,111.460015795
2023,116.653616175
2024,122.374573184
2025,127.759054404
2026,134.917477437
